reviews	PR
my grandchildren are home schooled and utilize the tables for many learning apps! they love using them as it makes them feel ""so grown up""! the tablets are a great leaning tool and they are receiving many benefits from them!	AA Batteries (4-pack)
great size, easy to carry for traveling. need to spend more time looking into apps for contact manegement, interactive calenders and most important, music storage and use.	USB-C Charging Cable
i purchased this when my last tablet died. it meets all basic needs and the price was great.	iPhone
perfect for downloading and reading books ! perfect size and has a nice, bright screen.	Bose SoundSport Headphones
i was surprised when i learned of the capabilities of this device. now my husband has more access to his desktop and i am doing things which i couldn't on his device.	AAA Batteries (4-pack)
i got it for my son. its user friendly and durable.	Flatscreen TV
the visual quality on the fire 8 hd is amazing. it runs very fast and is easy to use, very durable.	Bose SoundSport Headphones
if your looking for a affordable gift this is it!.	Bose SoundSport Headphones
this is a great tablet for the price, would recommend it to anyone looking for a basic tablet.	AAA Batteries (4-pack)
works great. love the portability of books. overall great product	Google Phone
i am still learning all the things i can do with my new kindle fire. it is so much better lighter in weight and easier to use than my old tablet.	27in FHD Monitor
just the right size for reading books and playing some games.	20in Monitor
i love everything about this tablet! the imaging is sharp and clear. it's fast and light weight. love it!	Lightning Charging Cable
overall a nice product for traveling purposes value for money	Google Phone
my children love this table great quality of pictures, excellent camera	Apple Airpods Headphones
i bought 3 tablets and my family was not disappointed.	USB-C Charging Cable
great tablet fast screen good size never gives me problem	Lightning Charging Cable
bought this for my 87 year old grandmother who wanted to be able to play games and read books from the library. my aunt lives with her and can help her use it so its perfect for that type of user. after playing with it, i would consider it for just about anyone other than a hardcore user that wants the latest and greatest tech. if you are tech saavy, you can do more with these fire tablets than advertised.	Wired Headphones
this is exactly what the person wanted as a gift and she enjoys using it.	Wired Headphones
does all basic functions of a tablet. hardcore users may want an ipad.	Apple Airpods Headphones
works great for a simple tablet. not a huge fan of the silk browser but it could be worse! i am very happy with my purchase!	USB-C Charging Cable
it's fast and easy to use. this is my second kindle fire .	AAA Batteries (4-pack)
more flexibility than a kindle and bigger screen. like it because i can surf the web and download and read books.	Lightning Charging Cable
for the money you cannot beat this tablet. full of features, picture quality is great, and very fast speed while using the internet.	27in 4K Gaming Monitor
easy to use, solid build, sharp hp screen for movies. who needs more?	USB-C Charging Cable
tablet is perfect for beginners who just want basic	Lightning Charging Cable
this is my first tablet . love it . actually read my first ebook on it . large screen, easy to read play games . fits nicely in my purse	USB-C Charging Cable
this 8 inch fire is definitely better than the cheaper 7 inch. it works fine enough for teens to play games and watch movies.	USB-C Charging Cable
great tablet for under 100. does not have the highest specs, but gets the job done for lite tablet users.	USB-C Charging Cable
i purchased the kindle fire because i needed a entertainment only device for long flights. this device is the perfect size for travel and easy to use and set up with your amazon account. it is worth purchasing a fire tablet if you are an amazon prime member. if not, i would not recommend it because the available apps are limited . my only complaint about this device is that if it freezes it is difficult to reset.	LG Dryer
this fire tablet has long battery life. reasonable fast	AAA Batteries (4-pack)
got this for my wife and she loves it. she had the previous generation and this one is a giant keep forward.	iPhone
sleek packaging easy set up and great for anyone who wants a e reader with more to offer.	Apple Airpods Headphones
best and most affordable option of all the kindle devices available.	AAA Batteries (4-pack)
i did not want to get a new kindle but my old one would not charge or show a charge anymore. i could not depend on it for any length of time so i finally broke down and bought a new one. i am very happy with this one. i was afraid i would lose my music and photos since not all came from the amazon store. however, everything i had on the old kindle transferred to the new one. i am still learning all about it but so far so good.	Bose SoundSport Headphones
my daughter likes this tablet to play her online games!	Apple Airpods Headphones
easy to figure out and used it extensively on my vacation.	USB-C Charging Cable
excellent tablet to leave at my easel and display reference photos. it's light enough to velcro to a articulating stand so i can position the tablet right next to my canvas. it's cheap enough to not worry about. i love it, for the price.	AA Batteries (4-pack)
i bought this wanting for books comics and movies and it has not disappoint ever since	Lightning Charging Cable
my 4 year old grandson loves his kindle. he had to have one after his sister got one.	USB-C Charging Cable
easy to use. as a beginner i found this pad very good. enjoy the kindle app.	Apple Airpods Headphones
this kindle does what i need it to do. the camera could be better but overall i am pretty happy with my purchase.	Lightning Charging Cable
purchased this for my daughter to do more reading. it has so much more options for her if she wants.	Flatscreen TV
this is a great tablet for the price. my kid loves it ,does alot reading on it.	USB-C Charging Cable
i was really hoping that this would be faster than some other inexspensive tablets i've had. i mainly use it for email though and it does the job.	Lightning Charging Cable
bought as a christmas gift for someone. i bought ipad as well. will update when it's used.	AA Batteries (4-pack)
great tablet for the price. it is easy to navigate.	27in FHD Monitor
i believe that this will be very useful during my husbands recovery from foot surgery.	AA Batteries (4-pack)
this is something that is useful if your looking for something to take along trips	AAA Batteries (4-pack)
this is a wonderful device. i love the extra capabilities and apps.	Bose SoundSport Headphones
decent tablet. access to kindle and pretty much all your google apps.	Wired Headphones
i am very happy with this tablet. the worst thing is that my steals it all the time. lol	Lightning Charging Cable
a family member has vision problems. they had seenused the kindle of another family member especially the ability to scale text. this device will make it possible to read, which she has had extreme difficulty doing.	USB-C Charging Cable
easy setup and connect to wifi. great viewing area. easy to read in bright places.	Google Phone
i got this fire for my friend who wants to buy kindle.this serves both kindle and tab. very nice and very cheap.worth for what i paid. i highly recommend this for beginners	USB-C Charging Cable
really enjoyed the price value of this tablet versus ipad	AAA Batteries (4-pack)
amazing tablet with fast processor. it looks great. got good deal	ThinkPad Laptop
we got this for our 5 year old and this is really great for the price. works like a charm!	Lightning Charging Cable
i find it easy to use, but the kindle does not come with instructions, so you have to find your way around.	Vareebadd Phone
i bought this because i was tired of watching youtube and twitch on my phone. excellent display sound is decentnot great but you can always buy a speaker. the negatives areit is definitely a fingerprint magnet, and the spectrum tv app is awfulthe app works fine on my phone, but for some reason on this tablet it freezes and is unusable. all things considered, for 65 bucks it's hard to be beat.	AA Batteries (4-pack)
i love this tablet. the battery life last a long time. i use my amazon kindle fire predominately for watching movies on amazon prime, netflix's, and checking my emails. i also carry it to my appointments and meetings. it is a compact tablet, and not big and bulky. the playback of the movies are great, and the movies are hd. great little tablet if you are looking for something to watch movies and checking emails. i would definitely recommend this tablet to friends and family members.	AAA Batteries (4-pack)
my daughter loves this kindle, she does so much with it,well worth the money.	USB-C Charging Cable
was looking for a tablet that was highly portable could run my directtv app stream videos. other electronics i have are much older versions. salesman recommended this model to me based on personal experience. i am still learning all its functions but so far it seems easy to use is doing what it promised to do.	Macbook Pro Laptop
this is my second fire, the other one is now retired. i like having hd. works just fine.	Wired Headphones
my wife bought this for me for my birthday. i enjoy reading biographys which usually have color photos. the regular kindle make the pics black and white or they're aren't any. this allows me to see the color photos. i also love the night feature when i'm in bed reading. i no longer need a light on to read or need to hold a large book.	Lightning Charging Cable
thanks to a knowledgeable, lowpressure salesperson, i was ready to buy my first tablet. this one was the right price on sale and i have not been disappointed. every few days i learn more ways to use it besides checking emails checking out library books audio books. it stays charged for days, even with regular use. i recommend it as an inexpensive and very satisfactory alternative to more expensive tablets.	AA Batteries (4-pack)
it's a great tablet for the price. don't expect it to be as fast more expensive ones. it's meant for casual use and it does a great job at that. for the price, you can't beat it. get a nice large microsd card and you don't have to worry about space. it runs a little slow on certain things if you are multitasking but it's a simple tablet. i've run plenty of 720p videos without fail. it's great for ebooks or other files. some more elaborate pdfs take a while to load if they have a lol of graphics. battery life seems good for a small table too.the only real issue i have is the amazon app store being limited. it is an offshoot of android but not all the same apps are available. there is a way around it but i wish they would just allow it access to google play or at least offer the same apps.so, it's a nice inexpensive table that works great. for the money, you will love it but don't get upset that is doesn't run as fast as a 500 tablet. that's not its job.	Macbook Pro Laptop
bought it for my 10 yr old granddaughter. does everything she wants it to do in a tablet.	USB-C Charging Cable
very easy to use tablet. lots of apps and game available.	AAA Batteries (4-pack)
we love the freetime settings for kids on the newer kindle fires. i was able to create a login for each of our kids as well as myself and set limits to the amount of device time they are allowed daily can set to more for weekends if desired. you can set the age restrictions for content also, to avoid inappropriate ads, etc. once you've downloaded apps, you can choose which ones you want each child to have access to in their profile settings, so if one child is older you can allow them access to something their younger siblings shouldn't have. basically, i like that i can set their access rights and know they're safe so i don't have to continually monitor every moment. by the way, freetime kids settings are available without having to subscribe to their freetime app access plan.	Macbook Pro Laptop
great tablet, very clear picture. would buy again.	Google Phone
good reader which is why i bought it. ads are annoying.	27in FHD Monitor
it's a mini computer packed in a handheld devise. applications load quickly and i am able to get my work completed, while riding the commuter rail.	USB-C Charging Cable
nice for a smaller tablet. it's good for internet surfing.	Lightning Charging Cable
purchased as a door prize gift given with a one year amazon membership. the recipient loves it and says it performs very well. as a past amazon fire user, now ipad graduate, i loved my amazon fire for more than 4 years without any problems. in fact, i just recycled it on to my son and it runs like a champ.	iPhone
i have 4 other kinds of tables. this the best i have had. i can listen to music, read a book, listen to a book, or watch moviestv shows.	LG Washing Machine
great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases	AA Batteries (4-pack)
i purchased 2 of these tablets for my 6 and 8 year old. they were a black friday special for 59. they are perfect for the apps and games they wanted.	USB-C Charging Cable
great product. love the amazon ecosystem. the freetime subscription is a must	Apple Airpods Headphones
needed something a bit larger than the 6 to stream netflix, this was perfect!	Google Phone
my husband bought this for me as a christmas present. i couldn't understand why he bought it because i already have a kindle fire.once i opened it and got it going, i loved all it could do plus the graphic is so much colorful than my older kindle.	ThinkPad Laptop
my grandson8loves this the games and the books!	AAA Batteries (4-pack)
great product and i'm very satisfied with it. i recommend it to other people.	20in Monitor
i purchased this tablet for my niece for christmas and she love it.	AA Batteries (4-pack)
easy to use, responds quickly, great screen brightness.	Wired Headphones
great tablet but apps limited comparison of other tablets.	34in Ultrawide Monitor
works as we thought it should. no problems. good buying experience.	Bose SoundSport Headphones
we have the smaller one, and been great. this one is even better, because of the size.	AAA Batteries (4-pack)
i am a prime member i love this tablet. very user friendly especially if you are a prime member with amazon. not real tech savvy so i need all the help i can get to keep things simple automatic. great clarity of picturedata. have a 10"" tablet and wasn't sure about downgrading size old eyes but was delighted to see it works fine at 8"" instead of 10"". also, easier to take around in the smaller size. highly recommend especially if you subscribe to amazon and are a prime member. great benefits!	ThinkPad Laptop
got this for my wife. she loves the bigger screen and the better app management features that this one has over her earlier generation kindle. definitely worth it!	Wired Headphones
connects to home wifi automatically. many books, and many games. actually functions like a computer tablet. email is a breeze.	27in 4K Gaming Monitor
bought this to replace noname budget tablet for my daughter. she loves this as it is much faster and has a better display than her old tablet. this is a wonderful value as it is faster, has a better display and sound, is a name brand and cost about the same . what's not to love about this product?	AA Batteries (4-pack)
she loves this tablet. it works well unlike her ""bargain"" tablet which she tried to use previously and cost about the same. she likes the sound of it also! she enjoys the free games she downloaded and navigates the wev easily with it.	27in FHD Monitor
it's no ipad, but it's great for netflix and some app games. i'm not worried about the kids getting their paws on it since it's relatively inexpensive.	Apple Airpods Headphones
didn't have some of the features i was looking for. returned it the next day. may be good for others	AAA Batteries (4-pack)
i bought this for my daughter and she loves it. it's speedy when loading books!	Lightning Charging Cable
purchased for my wife who reads a lot and truly enjoys the amazon fire.	USB-C Charging Cable
a great christmas gift, the kids love the gifts.	20in Monitor
daughter got this as a present. it was easy to set up and display is great. features allow us to limit her time on games, web, etc. while allowing her unlimited time to read	AAA Batteries (4-pack)
i have enjoyed just learning how to use it. you're never too old to learn new things.	AAA Batteries (4-pack)
bought for husband and he was surprised it does the work he needs it for	LG Dryer
this was a birthday present and it was ideal for a traveler to read ebooks on while on the rood	34in Ultrawide Monitor
my teenage daughter enjoyed her three year old 7"" kindle for recreation but wanted a larger screen for word processing. paired this with a bluetooth keyboard and she was thrilled.	AA Batteries (4-pack)
i bought this around black friday for 60 hoping it would be awesome. it failed so hard i tried multiple different micro sd cards none of which were recognized and yes i formated them with every format i could think of . fat32, ntfs, fat, xfat. i even tried to have the tablet do it. didnt work. to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps. the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store. i tried to also use aftermarket play stores to play coc but it didnt work. launched and played 1 time but didnt work or update after that. needless to say i returned it and bought a 250 samsung galaxy tab a 10.1 2016 version with spen and its wayyyyy better. bottom line you get what you pay for. also hint the spen version has an extra 1 gb of ram over the non pen version. so you should get that if you can afford the extra 50.	Apple Airpods Headphones
the people i purchased this for during christmas holiday loved it.	USB-C Charging Cable
i purchased two of these for my kids, ages 12 and 10. forget the ipod touch. for the price, this tablet can't be beat! they can download games, books and movies for free all included with my amazon prime membership. awesome!	Apple Airpods Headphones
my kids enjoy the fire hd and they love the picture quality	ThinkPad Laptop
bought two of these tablets for my nieces for christmas after we had originally bought the amazon fire 7 inch which had a virus after 3 days of purchase and was unable to work good thing we played with it prior to giving as gift do to this being said i was very surprised on how well this tablet has held up to to not so careful 8 years olds playing with it daily we have had no problems screen is big enough for little hands to maneuver and see on was the highlight of there christmas and still is would definitely recommend it	Lightning Charging Cable
really like the updates this product has in comparison to my first one	AA Batteries (4-pack)
functionality and ease of use are outstanding right out of the the box. super clear screen and weight is minimum and is a joy to use.	USB-C Charging Cable
this tablet is great for kids and adults who have little to no knowledge of computers. it handles easily and has plenty of storage	34in Ultrawide Monitor
my god sister has been using these for years.what to read more!	Wired Headphones
the latest amazon 8"" hd tablet is a very good tablet for the price. the updated processor and extra memory with expansion slot allow for very good performance on all that we use this tablet for. netflix, hulu, browsing the internet, and doing emails all work very smoothly. would recommend to anyone looking for a very cost effective tablet	Macbook Pro Laptop
totally worth the money, has all the apps i use on a daily basis!	Flatscreen TV
good tablet. wife loves it and would recommend.	Bose SoundSport Headphones
i use mine mainly for its bigger screen. i do all the same things i do on my phone.but love the big screen. i bought one for eaxh of my nieces too. and they both love theres. making videos.playing music.reading books. they bith love them! im happy i got them for all of us. and always reccomend them to my friends for their kids too.	AAA Batteries (4-pack)
amazon fire hd8 is a great product for the price. i picked it up for 69 during the holiday shopping season. replacing a 1st gen samsung tab 2. this thing is sooo much faster. perfect size for reading kindle books , emails, and doing the social media thing.	20in Monitor
it was a good gift for the price and had many features and options	AAA Batteries (4-pack)
not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price	Wired Headphones
my kids can play, read, watch movies and much more love it!	AA Batteries (4-pack)
great tablet for reading books, but the bluetooth is hard to get working and there are much better tablets for games and movies	USB-C Charging Cable
i love this kindle! i am biased i think however i have had 3 previous ones i prefer kindles to any other tablet	AA Batteries (4-pack)
this is a great tablet for kids. i love that their time on the tablet can be restricted.	iPhone
easy to use. good size. great ereader. not so expensive that i worry about my kids using it.	Wired Headphones
this tablet was purchased for our grandmother so she could play games and read books on.	Bose SoundSport Headphones
bought a few of these for christmas gifts .everyone is happy !its a great device for the . low price, and great quality as always from fire devices.	Bose SoundSport Headphones
i purchased this item for my husband and he has liked reading kindle books on it and the other features like silk, etc. light little tablet with good features.	34in Ultrawide Monitor
bought this for our year end holiday party raffle prize pool. great price and people always have a use for an amazon tablet. came with kaspersky for free as well, which is a pretty generous complimentary add on.	USB-C Charging Cable
my 6 yr old daughter got this tablet from santa for christmas. so far she loves it, a little too much perhaps. i only use it to manage her accountpermissions and so far haven't had any issues with it. software and hw not quite as refined as apple ipad products, but what can you expect at the lower price point.	AA Batteries (4-pack)
my opinion its a good option for the cost. not as great as apple ipad, but it costs so much less. still can get good use	20in Monitor
has many educational apps i would definitely go into the settings if you're a mother like me who is a very strict of what your children watch on tv or what games and apps they download i would definitely recommend setting the parental controls before giving it to them. in my personal opinion as a mother i feel it helps by setting the restrictionscontent on it helps keep their mind away from the gutter bcuz most apps and internet websites have inappropriate sites children should not be watching. we can't control what they put on the internet but we can control what our children watch and download they stay very occupied on educational apps ,read books most of these apps are free to i also recommend not putting a payment method option other than that my kids loved it	AA Batteries (4-pack)
the hd feature is what sold me on this product, along with the fact its a lotmore streamline than the older version that i have	Lightning Charging Cable
very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which i like to get free from the library. good browser, good battery power, fast charge. very relaxing to sit in a comfy chair and read or browse. has given me hours of enjoyment and information for a minimal price.	Lightning Charging Cable
i bought this for my wife to replace her old kindle and she loves it. much easier to read than an ipad and updated features make it a great purchase.	Apple Airpods Headphones
great tablet and price. ordering online easy. not happy took so long to receive though.	Wired Headphones
best tablet, good price, nice looking. ordering on line was easy.	AA Batteries (4-pack)
i got this for my mom for christmas. every time i visit, she shows me something else she can do with it. i'm so jealous, i hope i get one.	20in Monitor
this is my fourth kindle.upgrading each time. mine goes everywhere with me and is used throughout the day. wouldn't be without it.	Flatscreen TV
we bought this for our son when he went to college. he is able to upload all of his books and other documents.	Google Phone
i purchased it for my motherinlaw and she loves it it was easier for her to use and understand	Wired Headphones
the amazon fire is amazing! picture clarity and sound are excellent! i highly recommend this tablet! love it!	USB-C Charging Cable
sharp picture and easy to use. and a fantastic price	Apple Airpods Headphones
i like this is great i bought it my friend he was pleased abount	Wired Headphones
i wanted a low cost but quality tablet and this one is a dream! easy to navigate and excellent graphics.	Apple Airpods Headphones
this a great tablet for everyone. plenty of memory for downloading. great features all around.	Lightning Charging Cable
i own two nook tablets, another kindle and a samsung and this is the best one yet. excellent battery life. lets me check emails the web and with kindle. books can be switched from reads to listens. also works better than the nook with audiobooks.	Flatscreen TV
i bought this tablet for my 4 year old daughter. too many advertisements. i would rather pay more and not have a single ad.	Lightning Charging Cable
this is a step up from what my son was using. he said it does well and easy to use.	AAA Batteries (4-pack)
this is a good tablet for kids who are starting off	27in 4K Gaming Monitor
i bought this for my 6 year old and it's perfect. faster clearer than older versions.	27in 4K Gaming Monitor
awesome good size large enough for games and photos	Lightning Charging Cable
great gift easy to use and she loves being able to take it anywhere	AA Batteries (4-pack)
i bought this to replace the 7 inch version i lost in the airport. i wanted the bigger screen and the higher resolutions. it is much when loading games in offline mode as well as videos i have downloaded from amazon prime to play on the plane when wifi is not available. that was a plus for me. and now that the updated netflix app allows the same thing, i have plenty of videos. i can also play my .mp4 videos using vlc player that i load to a microsd card. of course you have wifi and bluetooth so great for surfing try he net or listening to music. the 8 in screen is perfect for lying in bed and watching my show. i highly recommend this.	USB-C Charging Cable
intuitive user interface, rapid online access through well designed features, light weight, ergonomic buttons for volume and power. overall a thoroughly well designed, excellent priced device for web browsing and social media.	Lightning Charging Cable
purchased this with a store credit and like it a lot. compares well with more expensive tablets.recommended	Lightning Charging Cable
great device for the price. good looking screen, quick and efficient. amazon app store isn't that bad either	USB-C Charging Cable
great gift for any age. wish i bought two. i can do everything on this that i was doing on my ipad	Bose SoundSport Headphones
great budget tablet for web browsing. also useful as an mp3 player and ebook reader.	AAA Batteries (4-pack)
i got 2 of these for my 8 yr old twins. my 11 yr old has one but this one is better. perfect way to get them to read	iPhone
this is a superb tablet for the price. it doesn't come with the android operating system. it has amazon's operating system. the battery last a good long time and apps run very fast. i would recommend this to anyone who wants a tablet.	20in Monitor
my daughter love her new tablet, i use for a few days and it's pretty good	Apple Airpods Headphones
so very happy with the new kindle ! i highly recommend this product !	27in FHD Monitor
it may be cheap but this is a great tablet and works awesome.	AA Batteries (4-pack)
my wife absolutely loves this tablet. it wad an early christmas present	Apple Airpods Headphones
bought for my 11 year old son and he absolutely loves it.	AA Batteries (4-pack)
i bought this as a christmas gift for my son. very easy to use.	34in Ultrawide Monitor
this product is very handy on the go. i can check emails and find work for my truck.	Google Phone
i am an amazon fan. ive only had amazon tablets so i cant compare them with any other brand. but, amazon has great customer service, a lot of great apps. the hd 8 is a great tablet for watching movies, most games, and social media. its not as good as the kindle fire hdx. the speakers arent as good, the hdx has more of a surround sound, but the hd 8 is less expensive, has a place for a sims card for extra space, and has an ok front and rear facing camera. overall its a great tablet for a great price.	Bose SoundSport Headphones
i previously had bought an older model of these tablets for my children. i wasn't to happy with them. but this tablet is great, it has child safety features like wether you would like to have them surf the web to even limiting the amount of hours your child can use it. very good tablet for what my kids will use it for which is mostly netflix hulu and even though there isn't you tube app there are alternate apps that acces you tube.	USB-C Charging Cable
got this tablet for black friday. wow, 16 gigs, great screen, expandable memory, what a deal. tablet is a must have for amazon prime members. it unlocks the door for all those great prime perks books, shows, and shopping. pairs to alexa. great screen for books! buy it already!	Wired Headphones
bought it on black friday for 60 .value for money tablet. it lags at heavy tasks and also apps are reloaded when 23 apps are opened at same time. but at this price it is expected. go for it if budget is 100.	27in 4K Gaming Monitor
overall this is a good tablet. it is best with those who have prime amazon and the ability to watch amazon video. a good price for a good tablet but has limitations based on the operating system. for video watching and basic use a good choice	Lightning Charging Cable
i love the size and portability of this. keeps me in touch and having fun.	Wired Headphones
nice tablet and couldn't beat the black friday price	27in 4K Gaming Monitor
i'm sorry i didn't buy it sooner! very easy to use. love it.	Macbook Pro Laptop
it feels a bit more rugged than my original fire tablet, and i believe it is an excellent value.	Flatscreen TV
good tablet for basic needs. screens resolution is pretty good. mostly using for reading and sometimes for watching moviesshows. great feature is the possibility to use the card to expand the memory. good product for great price!	ThinkPad Laptop
bought as a gift for my 86 yr old mom to stalk her kids and grandkids on fb. she mastered it in a few.minutes with minimal instruction. now i have to watch my posts.	AA Batteries (4-pack)
for a cheaper price this does more than my kindle love having this tablet	AAA Batteries (4-pack)
had a smaller version. love the bigger screen. use this product more than a computer.	AA Batteries (4-pack)
i bought 2 of the kindles for my grandsons. they love them! had them charged and set up right away. no issues at this point.	USB-C Charging Cable
easy to use bought for our 5 year old, found a case which allows him to keep it safe.	34in Ultrawide Monitor
great 8 inches tablet with and amazing storage for apps.	27in 4K Gaming Monitor
santa dropped this off for our 4th grader along with expanded memory. he uses it for netflix and youtube as well as minecraft and other apps. why spend hundreds on something for basic kids needs? i'm sure this will last him a few years and is well worth the price.	27in FHD Monitor
got this tablet for my 3 year old son and he can not put it down. it is so much to do. so many learning games. i love this product	AA Batteries (4-pack)
this tablet runs smooth with all amazon apps, the internet runs at a steady frame rate and it had a decent sized screen.	34in Ultrawide Monitor
this is a good device for entertainment and entry level tasks. i think it can do a lot for the price.	Lightning Charging Cable
nice price for the new model with alexa built in and expandable storage!	Wired Headphones
i have enjoyed the new kindle,however, was extremely disappointed that it does not have an hdmi port like the old version did.	Apple Airpods Headphones
this product is really awesome for kids to play in all sorts.we can use a strong case and let kids play in it .	AA Batteries (4-pack)
i like the features it has and it is easy to navigate.	USB-C Charging Cable
this is perfect my kids to do their school work on and have fun as well.	Wired Headphones
great gift for my dad. clear picture and easy set up	USB-C Charging Cable
love my kindle! works better than expected! kindle is much faster than my old tablet!	AA Batteries (4-pack)
i have never owned a tablet. wanted an ipad like most, but couldn't afford the sticker price. this one fit my needs perfect. i mainly just use it for web surfing and streaming video. no complaints so far! i would recommend this device.	27in 4K Gaming Monitor
also great for listening to music and also for movies	Wired Headphones
the screen picture is crisp and bright. i will use this tablet for many things.	AA Batteries (4-pack)
small and powerful. great adult toy for a reader	Wired Headphones
this was purchased as a christmas present for my aunt who lives with us. for the price, i thought it would be a good option for her since she doesn't want to drop the cash on an ipad.for comparison, the closest thing i have is an 8"" insignia tablet with similar screen resolution, storage, and features that was released at the same time. the fire tablet impresses me! it is more responsive than the existing android tablet i have.this tablet runs fireos which is amazon's customized version of android. typically i do not like custom android, preferring to have as close to a vanilla system as possible. i am not bothered by that with the fire. if you need them the parental controls are second to none! the amazon app store is extensive, although not as extensive as the google play store. still you should be able to find pretty much everything you need there.this is not a flagship device, but performs incredibly for the price. i will most likely be purchasing one soon for myself.	Lightning Charging Cable
i was hoping to use google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. still cheap and fine for watching movies.	AA Batteries (4-pack)
great tablet for reading and also surfacing the web, along with your favorite social media apps!	AAA Batteries (4-pack)
the price is low because amazon uses their adds to subsidize the price. the actual tablet works well. the biggest negative is that you can only install apps from the amazon store. there are many android apps available in the google store that are not available in the amazon store.i primarily use the tablet for bible gateway, dish anywhere, play some games, read the newspaper, and facebook. in the future i want to try to use it with my local library.	Lightning Charging Cable
screen is very clear and battery last a long time. very good substitute if you can afford a ipad.	USB-C Charging Cable
the tablet works fine. it is responsive with good resolution. it is too tied to amazon. it requires too many hoops to get apps such as zinio to work. until amazon loosens its grip, i recommend only at a very good price.	USB-C Charging Cable
a great value for the money you can save instead of a ipad from apple.	Bose SoundSport Headphones
fun and reliable. good quality for the money. easy to use.	Apple Airpods Headphones
great for reading nice image, easy on the eyes and lightweight.	34in Ultrawide Monitor
bought this for my 10 year old daughter for christmas! she loves it! a great alternative to a pricey ipad mini! she uses it for watching netflix, youtube and we use it for homeschool. we are very happy with our purchase!	27in FHD Monitor
i got this tablet on sale for my wife and she loves it	Lightning Charging Cable
so far so good with the kindle fire hd. still need to play with it to see how to maximize our use.	iPhone
we love kindle fire, we purchase it for an older couple and it's easy to work.	Lightning Charging Cable
the amazon fire is a great tablet with awesome graphics. i use it mainly for surfing the web and have had no issues with it.	Apple Airpods Headphones
purchased for my nephew for christmas. used it everyday. very good product and screen size is perfect for him.	Apple Airpods Headphones
great tablet for the price. my granddaughter loves how user friendly it is.	AAA Batteries (4-pack)
got this for my nieces aged 613 they loved it and so did their parents really keeps them occupied	Bose SoundSport Headphones
