Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Order Time
176620,USB-C Charging Cable,1,11.95,2019-04-17,"994 Pine St, Los Angeles, CA 90001",10:39:00 AM
176621,Lightning Charging Cable,1,14.95,2019-04-11,"863 8th St, Boston, MA 02215",04:09:00 PM
176622,AA Batteries (4-pack),1,3.84,2019-04-11,"983 11th St, San Francisco, CA 94016",08:16:00 PM
176623,27in FHD Monitor,1,149.99,2019-04-20,"807 12th St, Atlanta, GA 30301",11:51:00 PM
176624,AA Batteries (4-pack),1,3.84,2019-04-28,"664 Church St, Seattle, WA 98101",10:44:00 AM
176625,AAA Batteries (4-pack),2,2.99,2019-04-24,"858 5th St, San Francisco, CA 94016",07:00:00 PM
176626,Bose SoundSport Headphones,1,99.99,2019-04-01,"491 Chestnut St, Boston, MA 02215",09:40:00 PM
176627,Wired Headphones,1,11.99,2019-04-21,"994 13th St, Atlanta, GA 30301",02:57:00 PM
176628,Lightning Charging Cable,2,14.95,2019-04-15,"628 Wilson St, Dallas, TX 75001",04:03:00 AM
176629,USB-C Charging Cable,1,11.95,2019-04-24,"101 Lincoln St, San Francisco, CA 94016",11:56:00 AM
176630,Google Phone,1,600,2019-04-10,"770 Maple St, San Francisco, CA 94016",05:01:00 AM
176631,USB-C Charging Cable,1,11.95,2019-04-13,"292 Dogwood St, San Francisco, CA 94016",06:48:00 PM
176632,AAA Batteries (4-pack),1,2.99,2019-04-14,"814 Madison St, San Francisco, CA 94016",02:28:00 PM
176633,ThinkPad Laptop,1,999.99,2019-04-23,"863 Hickory St, Los Angeles, CA 90001",02:03:00 PM
176634,Lightning Charging Cable,1,14.95,2019-04-10,"311 Madison St, Atlanta, GA 30301",08:00:00 AM
176635,Vareebadd Phone,1,400,2019-04-26,"85 North St, San Francisco, CA 94016",09:55:00 AM
176636,AA Batteries (4-pack),1,3.84,2019-04-30,"140 10th St, Boston, MA 02215",08:37:00 PM
176637,AAA Batteries (4-pack),1,2.99,2019-04-17,"261 Sunset St, New York City, NY 10001",10:03:00 AM
176638,USB-C Charging Cable,1,11.95,2019-04-20,"869 Cherry St, Boston, MA 02215",08:33:00 AM
176639,Macbook Pro Laptop,1,1700,2019-04-28,"853 Cedar St, San Francisco, CA 94016",04:14:00 PM
176640,Wired Headphones,2,11.99,2019-04-27,"164 Lake St, San Francisco, CA 94016",10:54:00 PM
176641,Lightning Charging Cable,1,14.95,2019-04-25,"655 Sunset St, Boston, MA 02215",09:36:00 PM
176642,AA Batteries (4-pack),1,3.84,2019-04-17,"72 Elm St, Portland, OR 97035",06:38:00 PM
176643,Macbook Pro Laptop,1,1700,2019-04-27,"373 Adams St, Boston, MA 02215",09:32:00 PM
176644,USB-C Charging Cable,1,11.95,2019-04-23,"962 7th St, Los Angeles, CA 90001",02:09:00 AM
176645,AAA Batteries (4-pack),3,2.99,2019-04-26,"514 Lake St, Dallas, TX 75001",06:38:00 PM
176646,Macbook Pro Laptop,1,1700,2019-04-22,"657 Adams St, Portland, OR 97035",07:14:00 AM
176647,Google Phone,1,600,2019-04-21,"273 South St, Los Angeles, CA 90001",07:40:00 PM
176648,27in FHD Monitor,1,149.99,2019-04-24,"732 2nd St, Portland, OR 97035",01:17:00 AM
176649,USB-C Charging Cable,1,11.95,2019-04-09,"702 11th St, San Francisco, CA 94016",08:49:00 AM
176650,Lightning Charging Cable,1,14.95,2019-04-12,"153 River St, Boston, MA 02215",04:47:00 PM
176651,iPhone,1,700,2019-04-07,"997 South St, Boston, MA 02215",01:14:00 PM
176652,LG Washing Machine,1,600.0,2019-04-09,"502 14th St, New York City, NY 10001",08:04:00 PM
176653,AA Batteries (4-pack),1,3.84,2019-04-26,"285 Chestnut St, San Francisco, CA 94016",07:20:00 PM
176654,USB-C Charging Cable,1,11.95,2019-04-15,"880 Lakeview St, Seattle, WA 98101",07:35:00 PM
176655,Apple Airpods Headphones,1,150,2019-04-11,"848 Center St, San Francisco, CA 94016",07:36:00 PM
176656,Google Phone,1,600,2019-04-12,"12 Lakeview St, New York City, NY 10001",04:42:00 PM
176657,ThinkPad Laptop,1,999.99,2019-04-23,"774 Forest St, Los Angeles, CA 90001",10:16:00 AM
176658,AAA Batteries (4-pack),2,2.99,2019-04-22,"573 Pine St, San Francisco, CA 94016",08:51:00 AM
176659,20in Monitor,1,109.99,2019-04-29,"804 Church St, Dallas, TX 75001",02:40:00 PM
176660,AA Batteries (4-pack),1,3.84,2019-04-16,"267 West St, Boston, MA 02215",05:10:00 PM
176661,Wired Headphones,1,11.99,2019-04-25,"522 6th St, Atlanta, GA 30301",08:40:00 PM
176662,34in Ultrawide Monitor,1,379.99,2019-04-05,"678 Hickory St, Portland, OR 97035",12:46:00 PM
176663,Bose SoundSport Headphones,1,99.99,2019-04-05,"450 Johnson St, Seattle, WA 98101",11:48:00 AM
176664,AAA Batteries (4-pack),1,2.99,2019-04-13,"544 Madison St, Los Angeles, CA 90001",06:59:00 PM
176665,ThinkPad Laptop,1,999.99,2019-04-07,"927 13th St, Dallas, TX 75001",02:15:00 PM
176666,Wired Headphones,1,11.99,2019-04-08,"382 Forest St, Seattle, WA 98101",04:50:00 PM
176667,27in 4K Gaming Monitor,1,389.99,2019-04-11,"92 11th St, Los Angeles, CA 90001",12:39:00 AM
176668,AA Batteries (4-pack),1,3.84,2019-04-15,"56 2nd St, Dallas, TX 75001",08:46:00 PM
176669,27in FHD Monitor,1,149.99,2019-04-08,"506 Jackson St, Dallas, TX 75001",12:57:00 PM
176670,Apple Airpods Headphones,1,150,2019-04-25,"892 Willow St, San Francisco, CA 94016",09:23:00 PM
176671,AAA Batteries (4-pack),2,2.99,2019-04-23,"738 Jefferson St, New York City, NY 10001",04:31:00 PM
176672,Lightning Charging Cable,1,14.95,2019-04-12,"778 Maple St, New York City, NY 10001",11:07:00 AM
176672,USB-C Charging Cable,1,11.95,2019-04-12,"778 Maple St, New York City, NY 10001",11:07:00 AM
176673,20in Monitor,1,109.99,2019-04-10,"952 1st St, Boston, MA 02215",08:17:00 AM
176674,AAA Batteries (4-pack),3,2.99,2019-04-20,"907 West St, Austin, TX 73301",08:53:00 PM
176675,AAA Batteries (4-pack),1,2.99,2019-04-02,"933 Meadow St, Seattle, WA 98101",09:02:00 AM
176676,LG Dryer,1,600.0,2019-04-09,"788 Lincoln St, Los Angeles, CA 90001",12:35:00 AM
176677,34in Ultrawide Monitor,1,379.99,2019-04-01,"661 Washington St, Austin, TX 73301",11:50:00 AM
176678,AA Batteries (4-pack),2,3.84,2019-04-19,"345 Sunset St, San Francisco, CA 94016",10:12:00 PM
176679,Apple Airpods Headphones,1,150,2019-04-16,"245 West St, Boston, MA 02215",11:12:00 AM
176680,USB-C Charging Cable,1,11.95,2019-04-13,"368 Main St, Los Angeles, CA 90001",11:28:00 AM
176681,Apple Airpods Headphones,1,150,2019-04-20,"331 Cherry St, Seattle, WA 98101",10:39:00 AM
176681,ThinkPad Laptop,1,999.99,2019-04-20,"331 Cherry St, Seattle, WA 98101",10:39:00 AM
176682,Lightning Charging Cable,1,14.95,2019-04-27,"593 Adams St, Boston, MA 02215",06:19:00 AM
176683,AA Batteries (4-pack),1,3.84,2019-04-03,"253 Willow St, Los Angeles, CA 90001",01:54:00 PM
176684,USB-C Charging Cable,1,11.95,2019-04-17,"293 Washington St, Los Angeles, CA 90001",12:51:00 AM
176685,34in Ultrawide Monitor,1,379.99,2019-04-23,"114 10th St, New York City, NY 10001",10:53:00 PM
176686,Wired Headphones,1,11.99,2019-04-17,"892 10th St, Austin, TX 73301",03:17:00 PM
176687,Macbook Pro Laptop,1,1700,2019-04-30,"121 Wilson St, Los Angeles, CA 90001",10:26:00 AM
176688,Flatscreen TV,1,300,2019-04-20,"229 Church St, San Francisco, CA 94016",06:25:00 PM
176689,Bose SoundSport Headphones,1,99.99,2019-04-24,"659 Lincoln St, New York City, NY 10001",05:15:00 PM
176689,AAA Batteries (4-pack),2,2.99,2019-04-24,"659 Lincoln St, New York City, NY 10001",05:15:00 PM
176690,20in Monitor,1,109.99,2019-04-04,"873 Sunset St, San Francisco, CA 94016",06:33:00 PM
176691,AAA Batteries (4-pack),1,2.99,2019-04-12,"991 Lincoln St, Los Angeles, CA 90001",11:57:00 AM
176692,Wired Headphones,1,11.99,2019-04-08,"290 Forest St, San Francisco, CA 94016",06:21:00 PM
176693,AA Batteries (4-pack),1,3.84,2019-04-22,"252 Walnut St, San Francisco, CA 94016",09:00:00 AM
176694,USB-C Charging Cable,1,11.95,2019-04-05,"985 Washington St, Atlanta, GA 30301",08:46:00 PM
176695,AA Batteries (4-pack),2,3.84,2019-04-12,"709 Lake St, Seattle, WA 98101",08:50:00 PM
176696,iPhone,1,700,2019-04-07,"343 Johnson St, New York City, NY 10001",12:41:00 PM
176697,Wired Headphones,1,11.99,2019-04-20,"675 Center St, New York City, NY 10001",10:38:00 PM
176698,Bose SoundSport Headphones,1,99.99,2019-04-02,"232 Lakeview St, San Francisco, CA 94016",04:15:00 PM
176699,Bose SoundSport Headphones,1,99.99,2019-04-28,"49 Jefferson St, Boston, MA 02215",06:04:00 PM
176700,34in Ultrawide Monitor,1,379.99,2019-04-07,"967 Walnut St, Dallas, TX 75001",11:10:00 PM
176701,USB-C Charging Cable,1,11.95,2019-04-11,"128 Church St, Austin, TX 73301",01:05:00 PM
176702,AA Batteries (4-pack),1,3.84,2019-04-23,"896 Sunset St, Seattle, WA 98101",07:44:00 PM
176703,20in Monitor,1,109.99,2019-04-17,"748 Washington St, New York City, NY 10001",10:00:00 AM
176704,AA Batteries (4-pack),2,3.84,2019-04-17,"909 Center St, Seattle, WA 98101",10:00:00 AM
176705,Lightning Charging Cable,2,14.95,2019-04-06,"503 8th St, Austin, TX 73301",09:38:00 AM
176706,Lightning Charging Cable,1,14.95,2019-04-13,"309 South St, New York City, NY 10001",01:32:00 PM
176707,Apple Airpods Headphones,1,150,2019-04-13,"408 Center St, Portland, OR 97035",10:34:00 AM
176708,Wired Headphones,1,11.99,2019-04-28,"542 Ridge St, New York City, NY 10001",11:03:00 PM
176709,AA Batteries (4-pack),1,3.84,2019-04-24,"971 Church St, Dallas, TX 75001",02:17:00 PM
176710,20in Monitor,2,109.99,2019-04-07,"848 West St, Dallas, TX 75001",10:00:00 AM
176711,Flatscreen TV,1,300,2019-04-30,"796 River St, Dallas, TX 75001",10:58:00 AM
176712,Google Phone,1,600,2019-04-20,"910 Washington St, San Francisco, CA 94016",05:21:00 AM
176713,Wired Headphones,1,11.99,2019-04-21,"498 Walnut St, San Francisco, CA 94016",10:48:00 AM
176714,USB-C Charging Cable,1,11.95,2019-04-26,"303 Spruce St, Los Angeles, CA 90001",11:34:00 PM
176715,Apple Airpods Headphones,1,150,2019-04-27,"258 Jefferson St, San Francisco, CA 94016",04:43:00 PM
176716,Wired Headphones,1,11.99,2019-04-24,"794 7th St, Los Angeles, CA 90001",02:43:00 PM
176717,Apple Airpods Headphones,1,150,2019-04-19,"490 Lakeview St, Atlanta, GA 30301",10:34:00 AM
176718,Lightning Charging Cable,1,14.95,2019-04-22,"672 Sunset St, Los Angeles, CA 90001",07:14:00 PM
176719,Flatscreen TV,1,300,2019-04-27,"602 Hickory St, Boston, MA 02215",01:07:00 PM
176720,Lightning Charging Cable,1,14.95,2019-04-21,"556 South St, Portland, OR 97035",10:35:00 AM
176721,AAA Batteries (4-pack),1,2.99,2019-04-26,"469 7th St, San Francisco, CA 94016",09:08:00 PM
176722,27in 4K Gaming Monitor,1,389.99,2019-04-01,"209 14th St, New York City, NY 10001",10:57:00 AM
176723,27in 4K Gaming Monitor,1,389.99,2019-04-19,"613 12th St, Portland, OR 97035",09:31:00 PM
176724,Lightning Charging Cable,1,14.95,2019-04-26,"34 12th St, San Francisco, CA 94016",08:59:00 PM
176725,AA Batteries (4-pack),2,3.84,2019-04-15,"630 14th St, San Francisco, CA 94016",02:33:00 PM
176726,USB-C Charging Cable,1,11.95,2019-04-13,"979 8th St, Los Angeles, CA 90001",06:14:00 PM
176727,Lightning Charging Cable,1,14.95,2019-04-14,"218 Hickory St, Los Angeles, CA 90001",02:26:00 PM
176728,Lightning Charging Cable,1,14.95,2019-04-21,"516 Park St, Atlanta, GA 30301",07:38:00 AM
176729,USB-C Charging Cable,1,11.95,2019-04-24,"637 9th St, Seattle, WA 98101",09:57:00 AM
176730,Bose SoundSport Headphones,1,99.99,2019-04-17,"403 Ridge St, New York City, NY 10001",08:27:00 AM
176731,AAA Batteries (4-pack),2,2.99,2019-04-21,"36 Lincoln St, San Francisco, CA 94016",04:17:00 PM
176732,iPhone,1,700,2019-04-23,"504 Wilson St, Dallas, TX 75001",09:33:00 AM
176733,20in Monitor,1,109.99,2019-04-11,"575 Hickory St, San Francisco, CA 94016",01:31:00 PM
176734,Apple Airpods Headphones,1,150,2019-04-03,"611 Jackson St, New York City, NY 10001",10:13:00 PM
176735,27in FHD Monitor,1,149.99,2019-04-16,"802 Ridge St, Austin, TX 73301",11:52:00 PM
176736,AA Batteries (4-pack),1,3.84,2019-04-17,"421 2nd St, Los Angeles, CA 90001",11:48:00 AM
176737,Apple Airpods Headphones,1,150,2019-04-07,"109 Center St, Los Angeles, CA 90001",01:28:00 AM
176738,AA Batteries (4-pack),1,3.84,2019-04-03,"661 Center St, San Francisco, CA 94016",01:17:00 PM
176739,34in Ultrawide Monitor,1,379.99,2019-04-05,"730 6th St, Austin, TX 73301",05:38:00 PM
176739,Google Phone,1,600,2019-04-05,"730 6th St, Austin, TX 73301",05:38:00 PM
176740,Bose SoundSport Headphones,1,99.99,2019-04-24,"699 Washington St, Dallas, TX 75001",03:10:00 PM
176741,USB-C Charging Cable,1,11.95,2019-04-29,"990 Ridge St, San Francisco, CA 94016",06:49:00 PM
176742,Wired Headphones,1,11.99,2019-04-17,"115 Forest St, Los Angeles, CA 90001",09:54:00 AM
176743,27in 4K Gaming Monitor,1,389.99,2019-04-01,"570 11th St, Atlanta, GA 30301",09:17:00 AM
176744,Lightning Charging Cable,1,14.95,2019-04-14,"937 Maple St, Los Angeles, CA 90001",07:59:00 PM
176745,Wired Headphones,1,11.99,2019-04-24,"461 Adams St, Los Angeles, CA 90001",09:23:00 AM
176746,27in 4K Gaming Monitor,1,389.99,2019-04-08,"638 Park St, Seattle, WA 98101",07:04:00 PM
176747,Macbook Pro Laptop,1,1700,2019-04-27,"645 7th St, San Francisco, CA 94016",03:04:00 PM
176748,Flatscreen TV,1,300,2019-04-24,"339 13th St, Boston, MA 02215",03:28:00 PM
176749,ThinkPad Laptop,1,999.99,2019-04-26,"322 Adams St, Seattle, WA 98101",07:55:00 AM
176750,AA Batteries (4-pack),1,3.84,2019-04-13,"255 Cedar St, Austin, TX 73301",11:52:00 PM
176751,AAA Batteries (4-pack),1,2.99,2019-04-18,"258 4th St, San Francisco, CA 94016",01:01:00 PM
176752,AA Batteries (4-pack),1,3.84,2019-04-13,"665 Wilson St, San Francisco, CA 94016",11:59:00 PM
176753,USB-C Charging Cable,1,11.95,2019-04-01,"496 Adams St, Atlanta, GA 30301",11:07:00 PM
176754,34in Ultrawide Monitor,1,379.99,2019-04-02,"288 Forest St, Los Angeles, CA 90001",05:07:00 PM
176755,27in 4K Gaming Monitor,1,389.99,2019-04-09,"825 Madison St, Seattle, WA 98101",04:21:00 PM
176756,27in FHD Monitor,1,149.99,2019-04-05,"348 Lake St, New York City, NY 10001",05:06:00 PM
176757,AA Batteries (4-pack),1,3.84,2019-04-11,"79 Hickory St, Portland, OR 97035",08:28:00 PM
176758,34in Ultrawide Monitor,1,379.99,2019-04-18,"166 Highland St, San Francisco, CA 94016",09:26:00 PM
176759,Lightning Charging Cable,1,14.95,2019-04-06,"864 Main St, Los Angeles, CA 90001",12:46:00 PM
176760,Wired Headphones,1,11.99,2019-04-02,"813 Highland St, San Francisco, CA 94016",08:32:00 PM
176761,Apple Airpods Headphones,1,150,2019-04-26,"830 2nd St, San Francisco, CA 94016",08:00:00 PM
176762,AA Batteries (4-pack),1,3.84,2019-04-18,"977 1st St, Seattle, WA 98101",02:06:00 PM
176763,USB-C Charging Cable,1,11.95,2019-04-25,"638 Johnson St, San Francisco, CA 94016",01:36:00 PM
176764,Wired Headphones,1,11.99,2019-04-16,"652 Center St, Atlanta, GA 30301",07:52:00 PM
176765,USB-C Charging Cable,1,11.95,2019-04-14,"729 Ridge St, San Francisco, CA 94016",08:44:00 PM
176766,AA Batteries (4-pack),2,3.84,2019-04-21,"84 Johnson St, Boston, MA 02215",07:52:00 PM
176767,27in 4K Gaming Monitor,1,389.99,2019-04-09,"205 4th St, Atlanta, GA 30301",02:18:00 PM
176768,Wired Headphones,1,11.99,2019-04-04,"643 Spruce St, Los Angeles, CA 90001",12:03:00 AM
176769,AA Batteries (4-pack),1,3.84,2019-04-29,"206 10th St, San Francisco, CA 94016",02:14:00 PM
176770,Wired Headphones,1,11.99,2019-04-08,"345 Church St, San Francisco, CA 94016",05:38:00 PM
176771,Lightning Charging Cable,1,14.95,2019-04-24,"403 11th St, New York City, NY 10001",05:40:00 PM
176772,AA Batteries (4-pack),1,3.84,2019-04-10,"426 14th St, New York City, NY 10001",09:48:00 PM
176773,AAA Batteries (4-pack),2,2.99,2019-04-25,"30 9th St, Portland, ME 04101",08:07:00 PM
176774,Lightning Charging Cable,1,14.95,2019-04-25,"372 Church St, Los Angeles, CA 90001",03:06:00 PM
176774,USB-C Charging Cable,1,11.95,2019-04-25,"372 Church St, Los Angeles, CA 90001",03:06:00 PM
176775,USB-C Charging Cable,2,11.95,2019-04-01,"975 Forest St, San Francisco, CA 94016",08:56:00 PM
176776,Bose SoundSport Headphones,1,99.99,2019-04-24,"613 Washington St, Seattle, WA 98101",11:28:00 PM
176777,Apple Airpods Headphones,1,150,2019-04-14,"163 Jackson St, Portland, OR 97035",04:53:00 PM
176778,34in Ultrawide Monitor,1,379.99,2019-04-12,"201 Madison St, San Francisco, CA 94016",05:46:00 PM
176779,27in FHD Monitor,1,149.99,2019-04-04,"351 Park St, Atlanta, GA 30301",04:46:00 PM
176780,Lightning Charging Cable,1,14.95,2019-04-18,"52 Walnut St, New York City, NY 10001",11:51:00 PM
176781,iPhone,1,700,2019-04-03,"976 Hickory St, Dallas, TX 75001",07:37:00 AM
176781,Lightning Charging Cable,1,14.95,2019-04-03,"976 Hickory St, Dallas, TX 75001",07:37:00 AM
176782,Apple Airpods Headphones,1,150,2019-04-22,"993 13th St, San Francisco, CA 94016",01:42:00 PM
176783,Apple Airpods Headphones,1,150,2019-04-05,"926 North St, San Francisco, CA 94016",11:40:00 AM
176784,AAA Batteries (4-pack),1,2.99,2019-04-08,"725 Madison St, Los Angeles, CA 90001",10:14:00 AM
176785,Bose SoundSport Headphones,1,99.99,2019-04-03,"533 Ridge St, Los Angeles, CA 90001",03:39:00 PM
176786,20in Monitor,1,109.99,2019-04-06,"701 North St, San Francisco, CA 94016",04:40:00 PM
176787,Google Phone,1,600,2019-04-14,"180 Pine St, Los Angeles, CA 90001",10:10:00 AM
176788,Bose SoundSport Headphones,1,99.99,2019-04-15,"200 North St, New York City, NY 10001",04:39:00 AM
176789,Lightning Charging Cable,1,14.95,2019-04-21,"990 Meadow St, San Francisco, CA 94016",08:15:00 PM
176790,AAA Batteries (4-pack),1,2.99,2019-04-28,"689 9th St, Austin, TX 73301",12:07:00 PM
176791,Google Phone,1,600,2019-04-21,"908 Jackson St, Los Angeles, CA 90001",11:43:00 AM
176792,27in 4K Gaming Monitor,1,389.99,2019-04-30,"772 11th St, Atlanta, GA 30301",07:29:00 PM
176793,Wired Headphones,1,11.99,2019-04-17,"147 South St, San Francisco, CA 94016",05:09:00 PM
176794,Lightning Charging Cable,1,14.95,2019-04-10,"425 Adams St, Dallas, TX 75001",09:40:00 PM
176795,Wired Headphones,1,11.99,2019-04-13,"360 Center St, San Francisco, CA 94016",11:46:00 AM
176796,Bose SoundSport Headphones,1,99.99,2019-04-07,"5 2nd St, Los Angeles, CA 90001",08:44:00 AM
176797,Google Phone,1,600,2019-04-21,"923 Elm St, Los Angeles, CA 90001",08:54:00 AM
176797,Bose SoundSport Headphones,1,99.99,2019-04-21,"923 Elm St, Los Angeles, CA 90001",08:54:00 AM
176797,Wired Headphones,1,11.99,2019-04-21,"923 Elm St, Los Angeles, CA 90001",08:54:00 AM
176798,iPhone,1,700,2019-04-06,"445 Jefferson St, Atlanta, GA 30301",10:31:00 AM
176799,Wired Headphones,1,11.99,2019-04-03,"452 Spruce St, Portland, OR 97035",02:24:00 PM
176800,Lightning Charging Cable,1,14.95,2019-04-09,"766 West St, Atlanta, GA 30301",11:35:00 AM
