reviews	PR
Very happy with this product and easy to use..picture is clear, takes great pictures..	Apple Airpods Headphones
"My grandchildren are home schooled and utilize the tables for many learning apps! They LOVE using them as it makes them feel ""so grown up""! The tablets are a great leaning tool and they are receiving many benefits from them!"	AA Batteries (4-pack)
Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use.	USB-C Charging Cable
I purchased this when my last tablet died. It meets all basic needs and the price was great.	iPhone
Perfect for downloading and reading books !! Perfect size and has a nice, bright screen.	Bose SoundSport Headphones
I was surprised when I learned of the capabilities of this device. Now my husband has more access to his desktop and I am doing things which I couldn't on his device.	AAA Batteries (4-pack)
I got it for my son. Its user friendly and durable.	Flatscreen TV
The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.	Bose SoundSport Headphones
If your looking for a affordable gift this is it!.	Bose SoundSport Headphones
This is a great tablet for the price, would recommend it to anyone looking for a basic tablet.	AAA Batteries (4-pack)
Works great. Love the portability of books. Overall great product	Google Phone
I am still learning all the things I can do with my new Kindle Fire. It is so much better (lighter in weight and easier to use) than my old tablet.	27in FHD Monitor
Just the right size for reading books and playing some games.	20in Monitor
I love everything about this tablet! The imaging is sharp and clear. It's fast and light weight. Love it!	Lightning Charging Cable
Overall a nice product for traveling purposes Value for money	Google Phone
My children love this table great quality of pictures, excellent camera	Apple Airpods Headphones
I bought 3 tablets and my family was not disappointed.	USB-C Charging Cable
Great tablet fast screen good size never gives me problem	Lightning Charging Cable
Bought this for my 87 year old grandmother who wanted to be able to play games and read books from the library. My aunt lives with her and can help her use it so its perfect for that type of user. After playing with It, I would consider it for just about anyone other than a hardcore user that wants the latest and greatest tech. if you are tech saavy, you can do more with these Fire tablets than advertised.	Wired Headphones
This is exactly what the person wanted as a gift and she enjoys using it.	Wired Headphones
Does all basic functions of a tablet. Hardcore users may want an iPad.	Apple Airpods Headphones
Works great for a simple tablet. Not a huge fan of the silk browser but it could be worse! I am very happy with my purchase!	USB-C Charging Cable
It's fast and easy to use. This is my second kindle fire .	AAA Batteries (4-pack)
More flexibility than a Kindle and bigger screen. Like it because I can surf the web and download and read books.	Lightning Charging Cable
For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet.	27in 4K Gaming Monitor
Easy to use, solid build, sharp HP screen for movies. Who needs more?	USB-C Charging Cable
Tablet is perfect for beginners who just want basic	Lightning Charging Cable
this is my first tablet .. love it .. actually read my first e-book on it .. large screen, easy to read & play games .. fits nicely in my purse	USB-C Charging Cable
This 8 inch Fire is definitely better than the cheaper 7 inch. It works fine enough for teens to play games and watch movies.	USB-C Charging Cable
Great tablet for under $100. Does not have the highest specs, but gets the job done for lite tablet users.	USB-C Charging Cable
I purchased the kindle fire because I needed a entertainment only device for long flights. This device is the perfect size for travel and easy to use and set up with your Amazon account. It is worth purchasing a Fire tablet if you are an Amazon Prime member. If not, I would not recommend it because the available apps are limited . My only complaint about this device is that if it freezes it is difficult to reset.	LG Dryer
This fire tablet has long battery life. Reasonable fast	AAA Batteries (4-pack)
Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.	iPhone
Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.	Apple Airpods Headphones
Best and most affordable option of all the Kindle devices available.	AAA Batteries (4-pack)
I did not want to get a new kindle but my old one would not charge or show a charge anymore. I could not depend on it for any length of time so I finally broke down and bought a new one. I am very happy with this one. I was afraid I would lose my music and photos since not all came from the Amazon store. However, everything I had on the old kindle transferred to the new one. I am still learning all about it but so far so good.	Bose SoundSport Headphones
My daughter likes this tablet to play her online games!	Apple Airpods Headphones
Easy to figure out and used it extensively on my vacation.	USB-C Charging Cable
Excellent tablet to leave at my easel and display reference photos. It's light enough to velcro to a articulating stand (so I can position the tablet right next to my canvas). It's cheap enough to not worry about. I love it, for the price.	AA Batteries (4-pack)
I bought this wanting for books comics and movies and it has not disappoint ever since	Lightning Charging Cable
My 4 year old Grandson loves his Kindle. He had to have one after his sister got one.	USB-C Charging Cable
Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.	Apple Airpods Headphones
This Kindle does what I need it to do. The camera could be better but overall I am pretty happy with my purchase.	Lightning Charging Cable
Purchased this for my daughter to do more reading. It has so much more options for her if she wants.	Flatscreen TV
this is a great tablet for the price. my kid loves it ,does alot reading on it.	USB-C Charging Cable
I was really hoping that this would be faster than some other inexspensive tablets I've had. I mainly use it for email though and it does the job.	Lightning Charging Cable
Bought as a Christmas gift for someone. I bought iPad as well. Will update when it's used.	AA Batteries (4-pack)
Great tablet for the price. It is easy to navigate.	27in FHD Monitor
I believe that this will be very useful during my husbands recovery from foot surgery.	AA Batteries (4-pack)
This is something that is useful if your looking for something to take along trips	AAA Batteries (4-pack)
This is a wonderful device. I love the extra capabilities and apps.	Bose SoundSport Headphones
Decent tablet. Access to kindle and pretty much all your google apps.	Wired Headphones
I am very happy with this tablet. The worst thing is that my steals it all the time. Lol	Lightning Charging Cable
A family member has vision problems. They had seen/used the Kindle of another family member - especially the ability to scale text. This device will make it possible to read, which she has had extreme difficulty doing.	USB-C Charging Cable
Easy setup and connect to WIFI. Great viewing area. Easy to read in bright places.	Google Phone
I got this fire for my friend who wants to buy kindle..this serves both Kindle and Tab... very nice and very cheap..worth for what i paid.. I highly recommend this for beginners	USB-C Charging Cable
Really enjoyed the price value of this tablet versus ipad	AAA Batteries (4-pack)
Amazing tablet with fast processor. It looks great... got good deal	ThinkPad Laptop
We got this for our 5 year old and this is really great for the price. Works like a charm!!	Lightning Charging Cable
I find it easy to use, but the kindle does not come with instructions, so you have to find your way around.	Vareebadd Phone
I bought this because I was tired of watching Youtube and Twitch on my phone. Excellent display sound is decent-not great but you can always buy a speaker. The negatives are-it is definitely a fingerprint magnet, and the Spectrum TV app is AWFUL-the app works fine on my phone, but for some reason on this tablet it freezes and is unusable. All things considered, for 65 bucks it's hard to be beat.	AA Batteries (4-pack)
I love this tablet. The battery life last a long time. I use my Amazon Kindle Fire predominately for watching movies on Amazon Prime, Netflix's, and checking my emails. I also carry it to my appointments and meetings. It is a compact tablet, and not big and bulky. The playback of the movies are great, and the movies are HD. Great little tablet if you are looking for something to watch movies and checking emails. I would definitely recommend this tablet to friends and family members.	AAA Batteries (4-pack)
My daughter loves this kindle, she does so much with it,well worth the money.	USB-C Charging Cable
Was looking for a tablet that was highly portable & could run my DIRECTTV app & stream videos. (Other electronics I have are much older versions). Salesman recommended this model to me based on personal experience. I am still learning all its functions but so far it seems easy to use & is doing what it promised to do.	Macbook Pro Laptop
This is my second Fire, the other one is now retired. I like having HD. Works just fine.	Wired Headphones
My wife bought this for me for my birthday. I enjoy reading biographys which usually have color photos. The regular Kindle make the pics black and white or they're aren't any. This allows me to see the color photos. I also love the night feature when I'm in bed reading. I no longer need a light on to read or need to hold a large book.	Lightning Charging Cable
Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets.	AA Batteries (4-pack)
It's a great tablet for the price. Don't expect it to be as fast more expensive ones. It's meant for casual use and it does a great job at that. For the price, you can't beat it. Get a nice large microsd card and you don't have to worry about space. It runs a little slow on certain things if you are multitasking but it's a simple tablet. I've run plenty of 720p videos without fail. It's great for ebooks or other files. Some more elaborate pdfs take a while to load if they have a lol of graphics. Battery life seems good for a small table too.The only real Issue I have is the Amazon App store being limited. It is an offshoot of Android but not all the same apps are available. There is a way around it but I wish they would just allow it access to Google Play or at least offer the same apps.So, it's a nice inexpensive table that works great. For the money, you will love it but don't get upset that is doesn't run as fast as a $500 tablet. That's not its job.	Macbook Pro Laptop
Bought it for my 10 yr old granddaughter. Does everything she wants it to do in a tablet.	USB-C Charging Cable
Very easy to use tablet. Lots of apps and game available.	AAA Batteries (4-pack)
We love the FreeTime settings for kids on the newer Kindle Fires. I was able to create a login for each of our kids as well as myself and set limits to the amount of device time they are allowed daily (can set to more for weekends if desired). You can set the age restrictions for content also, to avoid inappropriate ads, etc. Once you've downloaded apps, you can choose which ones you want each child to have access to in their profile settings, so if one child is older you can allow them access to something their younger siblings shouldn't have. Basically, I like that I can set their access rights and know they're safe so I don't have to continually monitor every moment. By the way, FreeTime kids settings are available without having to subscribe to their FreeTime app access plan. :)	Macbook Pro Laptop
Great tablet, very clear picture. Would buy again.	Google Phone
Good reader which is why I bought it. Ads are annoying.	27in FHD Monitor
It's a mini computer packed in a handheld devise. Applications load quickly and I am able to get my work completed, while riding the commuter rail.	USB-C Charging Cable
Nice for a smaller tablet. It's good for Internet surfing.	Lightning Charging Cable
Purchased as a door prize gift given with a one year Amazon membership. The recipient loves it and says it performs very well. (As a past Amazon Fire user, now i-Pad graduate, I loved my Amazon Fire for more than 4 years without any problems. In fact, I just recycled it on to my son and it runs like a champ).	iPhone
I have 4 other kinds of tables. This the best I have had. I can listen to music, read a book, listen to a book, or watch movies/tv shows.	LG Washing Machine
Great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases	AA Batteries (4-pack)
I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.	USB-C Charging Cable
Great product. Love the Amazon ecosystem. The Freetime subscription is a must	Apple Airpods Headphones
Needed something a bit larger than the 6+ to stream Netflix, this was perfect!	Google Phone
my husband bought this for me as a Christmas present. I couldn't understand why he bought it because I already have a Kindle Fire.Once I opened it and got it going, I loved all it could do plus the graphic is so much colorful than my older Kindle.	ThinkPad Laptop
my grandson-8-loves this --the games and the books!	AAA Batteries (4-pack)
Great product and I'm very satisfied with it. I recommend it to other people.	20in Monitor
I purchased this tablet for my niece for Christmas and she love it.	AA Batteries (4-pack)
Easy to use, responds quickly, great screen brightness.	Wired Headphones
Great tablet but apps limited comparison of other tablets.	34in Ultrawide Monitor
Works as we thought it should. NO PROBLEMS. Good buying experience.	Bose SoundSport Headphones
We have the smaller one, and been great. This one is even better, because of the size.	AAA Batteries (4-pack)
"I am a prime member & I love this tablet. Very user friendly especially if you are a prime member with amazon. Not real tech savvy so I need all the help I can get to keep things simple & automatic. Great clarity of picture/data. Have a 10"" tablet and wasn't sure about downgrading size (old eyes) but was delighted to see it works fine at 8"" instead of 10"". Also, easier to take around in the smaller size. Highly recommend especially if you subscribe to Amazon and are a prime member. Great benefits!!"	ThinkPad Laptop
Got this for my wife. She loves the bigger screen and the better app management features that this one has over her earlier generation kindle. Definitely worth it!	Wired Headphones
Connects to home WiFi automatically. Many books, and many games. Actually functions like a computer tablet. E-mail is a breeze.	27in 4K Gaming Monitor
Bought this to replace no-name budget tablet for my daughter. She loves this as it is much faster and has a better display than her old tablet. This is a wonderful value as it is faster, has a better display and sound, is a name brand and cost about the same ... what's not to love about this product?	AA Batteries (4-pack)
"She loves this tablet. It works well unlike her ""bargain"" tablet which she tried to use previously and cost about the same. She likes the sound of it also! She enjoys the free games she downloaded and navigates the wev easily with it."	27in FHD Monitor
It's no iPad, but it's great for Netflix and some app games. I'm not worried about the kids getting their paws on it since it's relatively inexpensive.	Apple Airpods Headphones
Didn't have some of the features I was looking for. Returned it the next day. May be good for others	AAA Batteries (4-pack)
I bought this for my daughter and she loves it. It's speedy when loading books!	Lightning Charging Cable
Purchased for my wife who reads a lot and truly enjoys the amazon fire.	USB-C Charging Cable
A great Christmas gift, the kids love the gifts...	20in Monitor
Daughter got this as a present. It was easy to set up and display is great. Features allow us to limit her time on games, web, etc. while allowing her unlimited time to read	AAA Batteries (4-pack)
I have enjoyed just learning how to use it. You're never too old to learn new things.	AAA Batteries (4-pack)
bought for husband and he was surprised it does the work he needs it for	LG Dryer
This was a birthday present and it was ideal for a traveler to read ebooks on while on the rood	34in Ultrawide Monitor
"My teenage daughter enjoyed her three year old 7"" Kindle for recreation but wanted a larger screen for word processing. Paired this with a Bluetooth keyboard and she was thrilled."	AA Batteries (4-pack)
i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50...	Apple Airpods Headphones
The People I purchased this for during Christmas Holiday LOVED IT...	USB-C Charging Cable
I purchased two of these for my kids, ages 12 and 10. Forget the IPod touch. For the price, this tablet can't be beat! They can download games, books and movies for free all included with my Amazon Prime membership. Awesome!!	Apple Airpods Headphones
my kids enjoy the Fire HD and they love the picture quality	ThinkPad Laptop
Bought two of these tablets for my nieces for Christmas after we had originally bought the Amazon fire 7 inch which had a virus after 3 days of purchase and was unable to work good thing we played with it prior to giving as gift do to this being said I was very surprised on how well this tablet has held up to to not so careful 8 years olds playing with it daily we have had no problems screen is big enough for little hands to maneuver and see on was the highlight of there Christmas and still is would definitely recommend it	Lightning Charging Cable
Really like the updates this product has in comparison to my first one	AA Batteries (4-pack)
Functionality and ease of use are outstanding right out of the the box. Super clear screen and weight is minimum and is a joy to use.	USB-C Charging Cable
This tablet is great for kids and adults who have little to no knowledge of computers. It handles easily and has plenty of storage	34in Ultrawide Monitor
My god sister has been using these for years.What to read more!	Wired Headphones
"The latest Amazon 8"" HD tablet is a very good tablet for the price. The updated processor and extra memory (with expansion slot) allow for very good performance on all that we use this tablet for. Netflix, Hulu, browsing the internet, and doing e-mails all work very smoothly. Would recommend to anyone looking for a very cost effective tablet"	Macbook Pro Laptop
totally worth the money, has all the apps I use on a daily basis!	Flatscreen TV
Good tablet. Wife loves it and would recommend....	Bose SoundSport Headphones
I use mine mainly for its bigger screen. I do all the same things i do on my phone..but love the big screen. I bought one for eaxh of my nieces too. And they both love theres. Making videos..playing music..reading books. They bith love them! Im happy i got them for all of us. And always reccomend them to my friends for their kids too.	AAA Batteries (4-pack)
Amazon Fire HD8 is a great product for the price. I picked it up for $69 during the holiday shopping season. Replacing a 1st gen Samsung Tab 2. This thing is sooo much faster. Perfect size for reading Kindle books , emails, and doing the social media thing.	20in Monitor
It was a good gift for the price and had many features and options	AAA Batteries (4-pack)
Not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price	Wired Headphones
My kids can play, read, watch movies and much more love it!!!	AA Batteries (4-pack)
Great tablet for reading books, but the bluetooth is hard to get working and there are much better tablets for games and movies	USB-C Charging Cable
I love this Kindle!! I am biased I think however I have had 3 previous ones I prefer Kindles to any other tablet	AA Batteries (4-pack)
This is a great tablet for kids. I love that their time on the tablet can be restricted.	iPhone
Easy to use. Good size. Great eReader. Not so expensive that I worry about my kids using it.	Wired Headphones
This Tablet was purchased for our Grandmother so she could play games and read books on.	Bose SoundSport Headphones
Bought a few of these for Christmas gifts .Everyone is happy !Its a great device for the $$. Low price, and great quality as always from FIRE devices.	Bose SoundSport Headphones
I purchased this item for my husband and he has liked reading Kindle books on it and the other features like Silk, etc. Light little tablet with good features.	34in Ultrawide Monitor
Bought this for our year end holiday party raffle prize pool. Great price and people always have a use for an amazon tablet. Came with Kaspersky for free as well, which is a pretty generous complimentary add on.	USB-C Charging Cable
My 6 yr old daughter got this tablet from Santa for Christmas. So far she loves it, a little too much perhaps.. I only use it to manage her account/permissions and so far haven't had any issues with it.. Software and HW not quite as refined as apple iPad products, but what can you expect at the lower price point.	AA Batteries (4-pack)
my opinion its a good option for the cost. Not as great as Apple Ipad, but it costs so much less. Still can get good use	20in Monitor
Has many educational apps I would definitely go into the settings if you're a mother like me who Is a very strict of what your children watch on TV or what games and apps they download I would definitely recommend setting the parental controls before giving it to them. In my personal opinion as a mother I feel it helps by setting the restrictions/content on It helps keep their mind away from the gutter Bcuz most apps and Internet websites have inappropriate sites children should not be watching. We can't control what they put on the Internet but we can control what our children watch and download they stay very occupied on educational apps ,read books most of these apps are free to I also recommend NOT putting a payment method option other than that my kids loved it	AA Batteries (4-pack)
the hd feature is what sold me on this product, along with the fact its a lotmore streamline than the older version that I have	Lightning Charging Cable
Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price.	Lightning Charging Cable
I bought this for my wife to replace her old Kindle and she loves it. Much easier to read than an iPad and updated features make it a great purchase.	Apple Airpods Headphones
Great tablet and price. Ordering online easy. Not happy took so long to receive though.	Wired Headphones
Best tablet, good price, nice looking. Ordering on line was easy.	AA Batteries (4-pack)
I got this for my mom for Christmas. Every time I visit, she shows me something else she can do with it. I'm so jealous, I hope I get one.	20in Monitor
This is my fourth Kindle...upgrading each time. Mine goes everywhere with me and is used throughout the day. Wouldn't be without it.	Flatscreen TV
We bought this for our son when he went to college. He is able to upload all of his books and other documents.	Google Phone
I purchased it for my mother-in-law and she loves it it was easier for her to use and understand	Wired Headphones
The Amazon Fire is amazing! Picture clarity and sound are excellent! I highly recommend this tablet! Love it!	USB-C Charging Cable
Sharp picture and easy to use. And a fantastic price	Apple Airpods Headphones
I like this is great I bought it my friend he was pleased abount	Wired Headphones
I wanted a low cost but quality tablet and this one is a dream! Easy to navigate and excellent graphics.	Apple Airpods Headphones
This a great tablet for everyone. Plenty of memory for downloading. Great features all around.	Lightning Charging Cable
I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks.	Flatscreen TV
I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.	Lightning Charging Cable
This is a step up from what my son was using. He said it does well and easy to use.	AAA Batteries (4-pack)
This is a good tablet for kids who are starting off	27in 4K Gaming Monitor
I bought this for my 6 year old and it's perfect. Faster & clearer than older versions.	27in 4K Gaming Monitor
Awesome good size large enough for games and photos	Lightning Charging Cable
Great gift easy to use and she loves being able to take it anywhere	AA Batteries (4-pack)
I bought this to replace the 7 inch version I lost in the airport. I wanted the bigger screen and the higher resolutions. It is much when loading games in offline mode as well as videos I have downloaded from Amazon Prime to play on the plane when wifi is not available. That was a plus for me. And now that the updated Netflix app allows the same thing, I have plenty of videos. I can also play my .mp4 videos using VLC player that I load to a microSD card. Of course you have wifi and Bluetooth so great for surfing try he net or listening to music. The 8 in screen is perfect for lying in bed and watching my show. I highly recommend this.	USB-C Charging Cable
Intuitive user interface, rapid online access through well designed features, light weight, ergonomic buttons for volume and power. Overall a thoroughly well designed, excellent priced device for web browsing and social media.	Lightning Charging Cable
PURCHASED THIS WITH A STORE CREDIT AND LIKE IT A LOT. COMPARES WELL WITH MORE EXPENSIVE TABLETS..RECOMMENDED	Lightning Charging Cable
great device for the price. good looking screen, quick and efficient. amazon app store isn't that bad either	USB-C Charging Cable
Great gift for any age. Wish I bought two. I can do everything on this that I was doing on my ipad	Bose SoundSport Headphones
Great budget tablet for web browsing. Also useful as an MP3 player and ebook reader.	AAA Batteries (4-pack)
I got 2 of these for my 8 yr old twins. My 11 yr old has one but this one is better. Perfect way to get them to read	iPhone
This is a superb tablet for the price. It doesn't come with the Android operating system. It has Amazon's operating system. The battery last a good long time and apps run very fast. I would recommend this to anyone who wants a tablet.	20in Monitor
My daughter love her new tablet, I use for a few days and it's pretty good	Apple Airpods Headphones
So very happy with the new kindle ! I highly recommend this product !	27in FHD Monitor
It may be cheap but this is a great tablet and works awesome.	AA Batteries (4-pack)
My wife absolutely loves this tablet. It wad an early Christmas present	Apple Airpods Headphones
Bought for my 11 year old son and he absolutely loves it.	AA Batteries (4-pack)
I bought this as a Christmas gift for my son. Very easy to use.	34in Ultrawide Monitor
This product is very handy on the go. I can check emails and find work for my truck.	Google Phone
I am an Amazon Fan. Ive only had Amazon tablets so I cant compare them with any other brand. But, Amazon has great customer service, a lot of great apps. The HD 8 is a great tablet for watching movies, most games, and social media. Its not as good as the Kindle fire hdx. The speakers arent as good, the hdx has more of a surround sound, but the hd 8 is less expensive, has a place for a sims card for extra space, and has an ok front and rear facing camera. Overall its a great tablet for a great price.	Bose SoundSport Headphones
I previously had bought an older model of these tablets for my children. I wasn't to happy with them. But this tablet is great, it has child safety features like wether you would like to have them surf the web to even limiting the amount of hours your child can use it. Very good tablet for what my kids will use it for which is mostly Netflix Hulu and even though there isn't you tube app there are alternate apps that acces you tube.	USB-C Charging Cable
"Got this tablet for Black Friday. Wow, 16 gigs, great screen, expandable memory, what a deal. Tablet is a must have for Amazon Prime members. It unlocks the door for all those great Prime perks; books, shows, and shopping. Pairs to Alexa. Great screen for books! Buy it already!"	Wired Headphones
Bought it on black Friday for 60$ .Value for money tablet. It lags at heavy tasks and also apps are reloaded when 2-3 apps are opened at same time. But at this price it is expected. Go for it if budget is <100$.	27in 4K Gaming Monitor
overall this is a good tablet. it is best with those who have Prime Amazon and the ability to watch Amazon video. a good price for a good tablet but has limitations based on the operating system. for video watching and basic use a good choice	Lightning Charging Cable
I love the size and portability of this. Keeps me in touch and having fun.	Wired Headphones
Nice tablet and couldn't beat the Black Friday price	27in 4K Gaming Monitor
I'm sorry I didn't buy it sooner! Very easy to use. Love it.	Macbook Pro Laptop
It feels a bit more rugged than my original Fire tablet, and I believe it is an excellent value.	Flatscreen TV
Good tablet for basic needs. Screens resolution is pretty good. Mostly using for reading and sometimes for watching movies/shows. Great feature is the possibility to use the card to expand the memory. Good product for great price!	ThinkPad Laptop
Bought as a gift for my 86 yr old mom to stalk her kids and grandkids on FB. She mastered it in a few.minutes with minimal instruction. Now I have to watch my posts.	AA Batteries (4-pack)
For a cheaper price this does more than my kindle- love having this tablet	AAA Batteries (4-pack)
Had a smaller version. Love the bigger screen. Use this product more than a computer.	AA Batteries (4-pack)
I bought 2 of the kindles for my grandsons. They love them! Had them charged and set up right away. No issues at this point.	USB-C Charging Cable
Easy to use bought for our 5 year old, found a case which allows him to keep it safe.	34in Ultrawide Monitor
Great 8 inches tablet with and amazing storage for apps.	27in 4K Gaming Monitor
Santa dropped this off for our 4th grader along with expanded memory. he uses it for Netflix and Youtube as well as Minecraft and other Apps. Why spend hundreds on something for basic kids needs? I'm sure this will last him a few years and is well worth the price.	27in FHD Monitor
Got this tablet for my 3 year old son and he can not put it down. It is so much to do. So many learning games. I love this product	AA Batteries (4-pack)
This tablet runs smooth with all amazon apps, the internet runs at a steady frame rate and it had a decent sized screen.	34in Ultrawide Monitor
This is a good device for entertainment and entry level tasks. I think it can do a lot for the price.	Lightning Charging Cable
Nice price for the new model with Alexa built in and expandable storage!	Wired Headphones
I have enjoyed the new Kindle,however, was extremely disappointed that it does not have an HDMI port like the old version did.	Apple Airpods Headphones
this product is really awesome for kids to play in all sorts.We can use a strong case and let kids play in it .	AA Batteries (4-pack)
i like the features it has and it is easy to navigate.	USB-C Charging Cable
This is perfect my kids to do their school work on and have fun as well.	Wired Headphones
Great gift for my dad. Clear picture and easy set up	USB-C Charging Cable
Love my kindle! Works better than expected! Kindle is much faster than my old tablet!	AA Batteries (4-pack)
I have never owned a tablet. Wanted an I-Pad like most, but couldn't afford the sticker price. This one fit my needs perfect. I mainly just use it for web surfing and streaming video. No complaints so far! I would recommend this device.	27in 4K Gaming Monitor
also great for listening to music and also for movies	Wired Headphones
The screen picture is crisp and bright. I will use this tablet for many things.	AA Batteries (4-pack)
small and powerful... great adult toy for a reader	Wired Headphones
"This was purchased as a Christmas present for my aunt who lives with us. For the price, I thought it would be a good option for her since she doesn't want to drop the cash on an iPad.For comparison, the closest thing I have is an 8"" insignia tablet with similar screen resolution, storage, and features that was released at the same time. The Fire tablet impresses me! It is more responsive than the existing android tablet I have.This tablet runs FireOS which is Amazon's customized version of Android. Typically I do not like custom Android, preferring to have as close to a vanilla system as possible. I am not bothered by that with the Fire. If you need them the parental controls are second to none! The Amazon app store is extensive, although not as extensive as the Google Play store. Still you should be able to find pretty much everything you need there.This is not a flagship device, but performs incredibly for the price. I will most likely be purchasing one soon for myself."	Lightning Charging Cable
I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.	AA Batteries (4-pack)
Great tablet for reading and also surfacing the web, along with your favorite social media apps!	AAA Batteries (4-pack)
The price is low because Amazon uses their adds to subsidize the price. The actual tablet works well. The biggest negative is that you can only install apps from the Amazon store. There are many Android Apps available in the google store that are not available in the Amazon store.I primarily use the tablet for bible gateway, dish anywhere, play some games, read the newspaper, and Facebook. In the future I want to try to use it with my local library.	Lightning Charging Cable
Screen is very clear and battery last a long time. Very good substitute if you can afford a iPad.	USB-C Charging Cable
